/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-21 03:13:32:337 0 sec: 0 operations; est completion in 0 second 
2020-03-21 03:13:42:321 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:13:52:321 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(1, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
2020-03-21 03:14:02:321 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:14:12:321 40 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:14:22:321 50 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:14:32:321 60 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:14:42:321 70 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:14:52:321 80 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Loading oblivious tables.
2020-03-21 03:15:02:321 90 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:15:12:321 100 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:15:22:321 110 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:15:32:321 120 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:15:42:321 130 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:15:52:321 140 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:16:02:321 150 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:16:12:321 160 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:16:22:321 170 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:16:32:321 180 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:16:42:321 190 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:16:52:321 200 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:17:02:321 210 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:17:12:321 220 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:17:22:321 230 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:17:32:321 240 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:17:42:321 250 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:17:52:321 260 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:18:02:321 270 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:18:12:321 280 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:18:22:321 290 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:18:32:321 300 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:18:42:321 310 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:18:52:321 320 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:19:02:321 330 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:19:12:321 340 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:19:22:321 350 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:19:32:321 360 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:19:42:321 370 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:19:52:321 380 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:20:02:321 390 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-21 03:20:12:321 400 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-21 03:20:22:321 0 sec: 55 operations; 5.5 current ops/sec; est completion in 23 hours 4 minutes [READ: Count=56, Max=17663, Min=6152, Avg=7172.61, 90=7167, 99=17663, 99.9=17663, 99.99=17663] 
2020-03-21 03:20:32:320 10 sec: 1611 operations; 155.6 current ops/sec; est completion in 18 hours 1 minute [READ: Count=1555, Max=14439, Min=5596, Avg=6378.88, 90=6671, 99=7295, 99.9=10223, 99.99=14439] 
2020-03-21 03:20:42:321 20 sec: 3213 operations; 160.2 current ops/sec; est completion in 17 hours 40 minutes [READ: Count=1602, Max=14279, Min=5396, Avg=6210.79, 90=6503, 99=6795, 99.9=14175, 99.99=14279] 
2020-03-21 03:20:52:321 30 sec: 4798 operations; 158.5 current ops/sec; est completion in 17 hours 37 minutes [READ: Count=1585, Max=14511, Min=5520, Avg=6278.37, 90=6443, 99=8735, 99.9=14311, 99.99=14511] 
2020-03-21 03:21:02:321 40 sec: 6374 operations; 157.6 current ops/sec; est completion in 17 hours 37 minutes [READ: Count=1576, Max=14431, Min=5636, Avg=6318.63, 90=6455, 99=7535, 99.9=14415, 99.99=14431] 
2020-03-21 03:21:12:321 50 sec: 7956 operations; 158.2 current ops/sec; est completion in 17 hours 36 minutes [READ: Count=1582, Max=14815, Min=5468, Avg=6301.12, 90=6435, 99=9311, 99.9=14271, 99.99=14815] 
2020-03-21 03:21:22:321 60 sec: 9530 operations; 157.4 current ops/sec; est completion in 17 hours 36 minutes [READ: Count=1574, Max=17471, Min=5596, Avg=6335.7, 90=6439, 99=9535, 99.9=14935, 99.99=17471] 
2020-03-21 03:21:32:321 70 sec: 11096 operations; 156.6 current ops/sec; est completion in 17 hours 37 minutes [READ: Count=1567, Max=16311, Min=5540, Avg=6367.12, 90=6455, 99=12247, 99.9=16207, 99.99=16311] 
2020-03-21 03:21:42:321 80 sec: 12700 operations; 160.4 current ops/sec; est completion in 17 hours 34 minutes [READ: Count=1603, Max=15615, Min=5492, Avg=6221.91, 90=6415, 99=7155, 99.9=14215, 99.99=15615] 
2020-03-21 03:21:52:321 90 sec: 14259 operations; 155.9 current ops/sec; est completion in 17 hours 35 minutes [READ: Count=1559, Max=16719, Min=5720, Avg=6395.3, 90=6447, 99=12199, 99.9=14607, 99.99=16719] 
2020-03-21 03:22:02:321 100 sec: 15807 operations; 154.8 current ops/sec; est completion in 17 hours 37 minutes [READ: Count=1548, Max=14455, Min=5868, Avg=6440.39, 90=6487, 99=12391, 99.9=14391, 99.99=14455] 
2020-03-21 03:22:12:321 110 sec: 17386 operations; 157.9 current ops/sec; est completion in 17 hours 37 minutes [READ: Count=1579, Max=14375, Min=5616, Avg=6317.38, 90=6431, 99=9159, 99.9=14231, 99.99=14375] 
2020-03-21 03:22:22:321 120 sec: 18950 operations; 156.4 current ops/sec; est completion in 17 hours 37 minutes [READ: Count=1564, Max=14543, Min=5716, Avg=6374.84, 90=6447, 99=9255, 99.9=14527, 99.99=14543] 
2020-03-21 03:22:32:321 130 sec: 20515 operations; 156.5 current ops/sec; est completion in 17 hours 37 minutes [READ: Count=1565, Max=14295, Min=5856, Avg=6372.91, 90=6451, 99=9599, 99.9=14287, 99.99=14295] 
2020-03-21 03:22:42:321 140 sec: 22086 operations; 157.1 current ops/sec; est completion in 17 hours 37 minutes [READ: Count=1571, Max=20463, Min=5708, Avg=6345.56, 90=6435, 99=9127, 99.9=14303, 99.99=20463] 
2020-03-21 03:22:52:321 150 sec: 23668 operations; 158.2 current ops/sec; est completion in 17 hours 37 minutes [READ: Count=1582, Max=14463, Min=5764, Avg=6304.21, 90=6419, 99=9151, 99.9=14167, 99.99=14463] 
2020-03-21 03:23:02:321 160 sec: 25241 operations; 157.3 current ops/sec; est completion in 17 hours 36 minutes [READ: Count=1574, Max=16991, Min=5488, Avg=6338.75, 90=6431, 99=9591, 99.9=16831, 99.99=16991] 
2020-03-21 03:23:12:321 170 sec: 26806 operations; 156.5 current ops/sec; est completion in 17 hours 36 minutes [READ: Count=1564, Max=14407, Min=5844, Avg=6372.08, 90=6455, 99=9383, 99.9=14351, 99.99=14407] 
2020-03-21 03:23:22:321 180 sec: 28383 operations; 157.7 current ops/sec; est completion in 17 hours 36 minutes [READ: Count=1577, Max=14319, Min=5588, Avg=6326.31, 90=6419, 99=9375, 99.9=14255, 99.99=14319] 
2020-03-21 03:23:32:321 190 sec: 29945 operations; 156.2 current ops/sec; est completion in 17 hours 36 minutes [READ: Count=1562, Max=16255, Min=5712, Avg=6382.69, 90=6447, 99=9607, 99.9=15175, 99.99=16255] 
2020-03-21 03:23:42:324 200 sec: 31511 operations; 156.6 current ops/sec; est completion in 17 hours 36 minutes [READ: Count=1567, Max=14439, Min=5804, Avg=6368.5, 90=6447, 99=9415, 99.9=14303, 99.99=14439] 
2020-03-21 03:23:52:321 210 sec: 33083 operations; 157.2 current ops/sec; est completion in 17 hours 36 minutes [READ: Count=1571, Max=14607, Min=5568, Avg=6343.93, 90=6451, 99=9231, 99.9=14479, 99.99=14607] 
2020-03-21 03:24:02:321 220 sec: 34664 operations; 158.1 current ops/sec; est completion in 17 hours 36 minutes [READ: Count=1581, Max=14207, Min=5676, Avg=6307.69, 90=6443, 99=8959, 99.9=14175, 99.99=14207] 
2020-03-21 03:24:12:321 230 sec: 36239 operations; 157.5 current ops/sec; est completion in 17 hours 36 minutes [READ: Count=1575, Max=14367, Min=5724, Avg=6330.5, 90=6427, 99=9143, 99.9=14263, 99.99=14367] 
