"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud105",,,,"User:","gsd"
"Cmdline:","dstat -tcdnm --fs --noheaders --output /home/gsd/sparknvme/postgresql/OIS_40_4_run.csv",,,,"Date:","29 Mar 2020 08:54:32 WEST"
"system","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"filesystem",
"time","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","files","inodes"
29-03 08:54:32,4.724,0.649,94.417,0.210,0,4837683.293,1549518.696,0,0,1112776704,12065579008,407400448,2746896384,2016,264628
29-03 08:54:33,1.746,53.616,44.638,0,0,0,0,1534,1942,1498537984,11679547392,407400448,3126718464,2016,264632
29-03 08:54:34,1.008,65.491,33.501,0,0,0,0,171,377,1898278912,11278004224,407400448,3519668224,2016,264632
29-03 08:54:35,0.752,65.664,33.584,0,0,0,0,350,526,2300682240,10873864192,407400448,3914846208,2016,264632
29-03 08:54:36,0.756,65.743,33.501,0,0,0,0,221,960,2694979584,10477793280,407400448,4302798848,2016,264632
29-03 08:54:37,1.500,65.250,33.250,0,0,0,0,171,377,3089240064,10081812480,407400448,4690583552,2016,264632
29-03 08:54:38,1.244,65.423,33.085,0.249,0,0,147456,531,377,3484786688,9684545536,407400448,5079355392,2016,264632
29-03 08:54:39,1.263,65.404,33.333,0,0,0,4096,970,1788,3874873344,9292754944,407400448,5463040000,2016,264632
29-03 08:54:40,1.504,65.163,33.333,0,0,0,0,770,526,4267626496,8898297856,407400448,5849837568,2016,264632
29-03 08:54:41,7.538,44.472,47.990,0,0,0,0,231,377,4490293248,8674615296,407400448,6068809728,2016,264632
29-03 08:54:42,18.428,18.919,62.654,0,0,0,36864,381,1447,4491436032,8673472512,407400448,6069342208,2016,264632
29-03 08:54:43,14.861,18.640,66.499,0,0,0,0,495,377,4491436032,8673472512,407400448,6069342208,2016,264632
29-03 08:54:44,15.347,19.307,65.347,0,0,0,0,111,377,4491436032,8673472512,407400448,6069342208,2016,264632
29-03 08:54:45,16.794,16.031,66.921,0.254,0,0,69632,370,1067,4491436032,8673472512,407400448,6069342208,2016,264632
29-03 08:54:46,14.910,17.481,67.609,0,0,0,2744320,111,377,4491567104,8673341440,407400448,6069342208,2016,264632
29-03 08:54:47,16.967,14.910,67.866,0.257,0,0,8192,171,377,4491567104,8673341440,407400448,6069342208,2016,264632
29-03 08:54:48,14.796,17.857,67.347,0,0,0,0,281,960,4491567104,8673341440,407400448,6069342208,2016,264632
29-03 08:54:49,17.413,16.915,65.672,0,0,0,0,231,377,4491567104,8673341440,407400448,6069342208,2016,264632
29-03 08:54:50,16.541,17.293,65.915,0.251,0,0,86016,950,523,4491563008,8673341440,407400448,6069346304,2016,264632
29-03 08:54:51,14.532,20.197,65.271,0,0,0,0,701,960,4491563008,8673341440,407400448,6069346304,2016,264632
