"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud105",,,,"User:","gsd"
"Cmdline:","dstat -tcdnm --fs --noheaders --output /home/gsd/sparknvme/postgresql/OIS_20_1_run.csv",,,,"Date:","29 Mar 2020 00:17:58 WET"
"system","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"filesystem",
"time","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","files","inodes"
29-03 00:17:58,4.646,0.649,94.495,0.210,0,4860115.960,1535615.691,0,0,1110220800,12096000000,400371712,2737139712,2016,257268
29-03 00:17:59,3.518,54.271,42.211,0,0,0,3514368,1700,1942,1503576064,11701579776,400371712,3123666944,2016,257272
29-03 00:18:00,1.508,64.824,33.668,0,0,0,0,740,484,1905676288,11297677312,400371712,3519623168,2016,257272
29-03 00:18:01,0.756,65.743,33.501,0,0,0,0,531,377,2303717376,10898046976,400371712,3910615040,2016,257272
29-03 00:18:02,1.003,65.414,33.584,0,0,0,0,1121,960,2701688832,10498240512,400371712,4302086144,2016,257272
29-03 00:18:03,1.511,65.239,33.249,0,0,0,0,951,377,3100491776,10097766400,400371712,4694568960,2016,257272
29-03 00:18:04,2.764,65.829,31.156,0.251,0,0,237568,860,1205,3498557440,9697832960,400371712,5085900800,2048,257272
29-03 00:18:05,1,66,33,0,0,0,0,419,1554,3899060224,9295708160,400371712,5479325696,2048,257272
29-03 00:18:06,4.500,65.750,29.750,0,0,0,0,751,7894,4296458240,8896507904,400371712,5868597248,2048,257300
29-03 00:18:07,8.458,41.542,50,0,0,0,0,435,377,4489969664,8702046208,400371712,6059257856,2048,257300
29-03 00:18:08,14.750,19,66.250,0,0,0,0,701,960,4490096640,8701919232,400371712,6059577344,2048,257300
29-03 00:18:09,17.313,14.470,68.217,0,0,0,53248,531,377,4490096640,8701919232,400371712,6059577344,2048,257300
29-03 00:18:10,17.784,13.918,68.041,0.258,0,0,12288,976,523,4490096640,8701919232,400371712,6059577344,2048,257300
29-03 00:18:11,14.787,19.048,66.165,0,0,0,0,281,960,4490096640,8701919232,400371712,6059577344,2048,257300
29-03 00:18:12,16.708,17.207,66.085,0,0,0,0,231,377,4490096640,8701919232,400371712,6059577344,2048,257300
29-03 00:18:13,15.152,18.434,66.162,0.253,0,0,8192,111,377,4490096640,8701919232,400371712,6059577344,2048,257300
29-03 00:18:14,15.461,18.454,66.085,0,0,0,0,701,960,4490096640,8701919232,400371712,6059577344,2048,257300
29-03 00:18:15,16.667,16.667,66.414,0.253,0,0,28672,1040,484,4490092544,8701919232,400371712,6059581440,2048,257300
29-03 00:18:16,14.750,19,66.250,0,0,0,0,1011,377,4490092544,8701919232,400371712,6059581440,2048,257300
29-03 00:18:17,15.869,17.632,66.499,0,0,0,0,741,1447,4490092544,8701919232,400371712,6059581440,2048,257300
29-03 00:18:18,15.075,18.593,66.332,0,0,0,0,231,377,4490092544,8701919232,400371712,6059581440,2048,257300
29-03 00:18:19,16.291,17.544,66.165,0,0,0,4096,764,1205,4490092544,8701919232,400371712,6059581440,2048,257300
29-03 00:18:20,17.136,15.345,67.263,0.256,0,0,36864,559,1109,4490088448,8701919232,400375808,6059581440,2048,257300
29-03 00:18:21,18.519,18.765,62.716,0,0,0,36864,171,377,4490235904,8701767680,400375808,6059585536,2048,257300
29-03 00:18:22,15.233,19.902,64.865,0,0,0,0,231,377,4490084352,8701919232,400375808,6059585536,2048,257300
29-03 00:18:23,15.949,17.215,66.835,0,0,0,0,221,960,4490084352,8701919232,400375808,6059585536,2048,257300
29-03 00:18:24,15.829,17.839,66.332,0,0,0,0,591,377,4490084352,8701919232,400375808,6059585536,2048,257300
29-03 00:18:25,16.877,16.625,66.247,0.252,0,0,65536,641,484,4490084352,8701919232,400375808,6059585536,2048,257300
29-03 00:18:26,19.395,8.564,72.040,0,0,0,0,1329,1172,4614201344,8459886592,400375808,6289457152,2048,257300
29-03 00:18:27,22.500,3,74.500,0,0,0,0,531,377,4827635712,8027090944,400375808,6715412480,2048,257300
29-03 00:18:28,22.362,4.020,71.608,2.010,0,8192,301834240,591,377,5034766336,7608713216,400384000,7125315584,2048,257302
29-03 00:18:29,22.556,3.008,74.436,0,0,0,28672,939,1447,5250899968,7173206016,400384000,7551422464,2048,257302
29-03 00:18:30,22.250,3.500,74,0.250,0,0,430080,800,484,5466988544,6737633280,400384000,7977451520,2048,257302
29-03 00:18:31,22.362,3.518,67.337,6.784,0,4096,234897408,975,377,5675511808,6318235648,400388096,8386949120,2048,257303
29-03 00:18:32,21.465,4.040,68.182,6.313,0,8192,244936704,341,960,5891399680,5882834944,400396288,8813019136,2048,257303
29-03 00:18:33,21.805,4.511,70.175,3.509,0,8192,234881024,502,377,6107697152,5447102464,400404480,9239027712,2048,257303
29-03 00:18:34,22.306,6.015,60.902,10.777,0,28672,882307072,440,1205,6315618304,5027020800,400441344,9650790400,2048,257303
29-03 00:18:35,22.166,3.526,72.292,2.015,0,4096,237481984,310,1067,6530686976,4593844224,400445440,10074603520,2048,257303
29-03 00:18:36,22.444,3.491,74.065,0,0,0,1572864,171,377,6673944576,4231159808,400445440,10425348096,2048,257304
29-03 00:18:37,21.750,4,74.250,0,0,0,3670016,531,377,6676774912,4013936640,400445440,10633945088,2048,257304
29-03 00:18:38,22.277,5.941,63.366,8.416,0,16384,718819328,1271,1050,6679416832,3796332544,400461824,10842976256,2048,257304
29-03 00:18:39,22.222,4.798,69.444,3.535,0,8192,510525440,1011,377,6682025984,3574689792,400470016,11056103424,2048,257304
29-03 00:18:40,22.139,5.473,67.413,4.975,0,8192,614473728,1239,565,6683836416,3362283520,400478208,11260940288,2048,257304
29-03 00:18:41,21.859,3.769,74.372,0,0,0,4194304,1972,3381,6686076928,3141107712,400478208,11473920000,2048,257308
29-03 00:18:42,21.772,4.810,69.367,4.051,0,8192,485842944,171,377,6688714752,2928058368,400486400,11678638080,2048,257308
29-03 00:18:43,20.250,6,70.750,3,0,8192,473432064,435,377,6691274752,2731757568,400494592,11867209728,2048,257308
29-03 00:18:44,21.859,4.774,70.352,3.015,0,4096,412917760,356,960,6694117376,2509926400,400498688,12080177152,2048,257306
29-03 00:18:45,22.195,5.486,66.833,5.486,0,12288,676306944,434,692,6696869888,2338910208,400515072,12243808256,2048,257306
29-03 00:18:46,25.063,0.501,74.436,0,0,0,4194304,411,545,6699790336,2335989760,400515072,12243808256,2048,257306
29-03 00:18:47,24.500,1,74.500,0,0,0,3145728,221,960,6702456832,2333323264,400515072,12243808256,2048,257306
29-03 00:18:48,24.561,0.752,74.687,0,0,0,4194304,591,377,6705123328,2330656768,400515072,12243812352,2048,257306
29-03 00:18:49,24.874,0.754,74.372,0,0,0,4198400,800,1205,6707789824,2327990272,400515072,12243812352,2080,257306
29-03 00:18:50,24.812,0.501,74.436,0.251,0,0,3891200,940,1109,6710448128,2325323776,400519168,12243816448,2080,257306
29-03 00:18:51,26.500,1.250,72.250,0,0,0,4231168,171,377,6715019264,2320752640,400519168,12243816448,2080,257306
29-03 00:18:52,24.750,1,74.250,0,0,0,4194304,1403,377,6717812736,2317959168,400519168,12243816448,2080,257306
29-03 00:18:53,25,0.500,74.500,0,0,0,4194304,1161,1447,6719844352,2315927552,400519168,12243816448,2080,257305
29-03 00:18:54,25.250,0.500,74.250,0,0,0,4194304,1011,377,6722637824,2313134080,400519168,12243816448,2080,257305
29-03 00:18:55,25.564,0.251,74.185,0,0,0,4268032,545,484,6725431296,2310340608,400519168,12243816448,2080,257305
29-03 00:18:56,25.063,0.501,74.436,0,0,0,3670016,281,960,6728097792,2307674112,400519168,12243816448,2080,257305
29-03 00:18:57,25.063,0.251,74.687,0,0,0,4194304,111,377,6730764288,2305007616,400519168,12243816448,2080,257305
29-03 00:18:58,24.812,0.752,74.436,0,0,0,4235264,231,377,6733791232,2301833216,400519168,12243963904,2112,257307
29-03 00:18:59,25.622,0.249,74.129,0,0,0,4194304,419,960,6736457728,2299166720,400519168,12243963904,2112,257307
29-03 00:19:00,25.500,0.250,74,0.250,0,0,4313088,350,484,6739247104,2296373248,400523264,12243968000,2112,257307
29-03 00:19:01,25.187,0.499,74.314,0,0,0,3670016,111,377,6741913600,2293706752,400523264,12243968000,2112,257307
29-03 00:19:02,25.313,0.251,74.436,0,0,0,4194304,281,960,6744707072,2290913280,400523264,12243968000,2112,257307
29-03 00:19:03,25.500,0,74.500,0,0,0,4194304,531,377,6747500544,2288119808,400523264,12243968000,2112,257307
29-03 00:19:04,25.377,0.251,74.372,0,0,0,4198400,860,1205,6750040064,2285580288,400523264,12243968000,2112,257307
29-03 00:19:05,24.750,0.750,74.250,0.250,0,0,4243456,860,1554,6752956416,2282659840,400523264,12243972096,2112,257307
29-03 00:19:06,29.426,1.496,69.077,0,0,0,3670016,751,7880,6756257792,2279358464,400523264,12243972096,2112,257309
29-03 00:19:07,25,0.500,74.500,0,0,0,4194304,855,377,6759047168,2276564992,400523264,12243980288,2112,257309
29-03 00:19:08,25.126,1.005,50.251,23.618,0,4096,356196352,1121,960,6761766912,2273832960,400527360,12243988480,2112,257309
29-03 00:19:09,25.063,0.501,71.679,2.757,0,0,46268416,951,377,6764556288,2271039488,400527360,12243992576,2112,257309
29-03 00:19:10,25,0.250,74.500,0.250,0,0,4239360,759,484,6766714880,2268880896,400527360,12243992576,2112,257309
29-03 00:19:11,25.313,0.251,74.436,0,0,0,4210688,281,960,6769381376,2266214400,400527360,12243992576,2112,257309
29-03 00:19:12,25.250,0.250,74.500,0,0,0,4194304,231,377,6772174848,2263420928,400527360,12243992576,2112,257309
29-03 00:19:13,25,0.750,74.250,0,0,0,3670016,111,377,6774968320,2260627456,400527360,12243992576,2112,257309
29-03 00:19:14,25.377,0.754,42.462,31.407,0,0,235864064,281,960,6778834944,2256760832,400527360,12243992576,2112,257309
29-03 00:19:15,14.684,0.506,35.949,48.861,0,0,332361728,230,484,6779179008,2256416768,400527360,12243992576,2112,257309
29-03 00:19:16,25.063,0.501,74.436,0,0,0,35766272,651,377,6781870080,2253725696,400527360,12243992576,2112,257309
29-03 00:19:17,25.500,0,74.500,0,0,0,3670016,801,1447,6784663552,2250932224,400527360,12243992576,2112,257309
29-03 00:19:18,25.622,0.498,73.632,0.249,0,0,4218880,651,377,6650687488,2384900096,400527360,12244000768,2112,257306
29-03 00:19:19,25.750,0,74.250,0,0,0,4198400,704,1205,6650687488,2384900096,400527360,12244000768,2112,257306
29-03 00:19:20,25.250,0.250,74.250,0.250,0,0,4272128,460,1109,6650683392,2384900096,400527360,12244004864,2112,257306
29-03 00:19:21,27.431,0.748,71.820,0,0,0,4231168,111,377,6650855424,2384695296,400527360,12244037632,2112,257306
29-03 00:19:22,25.373,0.249,74.378,0,0,0,3670016,591,377,6650683392,2384883712,400527360,12244004864,2112,257306
29-03 00:19:23,25.126,0.251,74.623,0,0,0,4194304,641,1050,6650683392,2384883712,400527360,12244004864,2112,257306
29-03 00:19:24,25.436,0.249,74.314,0,0,0,4194304,827,728,6650683392,2384883712,400527360,12244004864,2112,257306
29-03 00:19:25,25.313,0,74.436,0.251,0,0,4263936,200,484,6650679296,2384883712,400531456,12244004864,2112,257306
29-03 00:19:26,25.250,0.250,74.500,0,0,0,4194304,281,960,6650679296,2384883712,400531456,12244004864,2112,257306
29-03 00:19:27,25.250,0,74.750,0,0,0,3670016,111,377,6650679296,2384883712,400531456,12244008960,2112,257306
29-03 00:19:28,25.126,0,74.874,0,0,0,4222976,681,467,6651293696,2384269312,400531456,12244008960,2112,257306
29-03 00:19:29,25,0.250,74.750,0,0,0,4194304,939,1489,6651187200,2384359424,400531456,12244008960,2112,257306
