"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud105",,,,"User:","gsd"
"Cmdline:","dstat -tcdnm --fs --noheaders --output /home/gsd/sparknvme/postgresql/wikipedia_OIS_10_1_run.csv",,,,"Date:","12 Apr 2020 22:27:49 WEST"
"system","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"filesystem",
"time","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","files","inodes"
12-04 22:27:49,4.268,0.609,94.755,0.367,0,4005587.744,1650868.401,0,0,288489472,4779446272,420872192,10832052224,1312,38040
12-04 22:27:50,1.005,7.538,91.206,0.251,0,344064,221184,5621,2363,397799424,4669255680,420880384,10941808640,1248,38044
12-04 22:27:51,1.010,65.404,33.586,0,0,4096,1110016,384,0,799002624,4266270720,420884480,11336409088,1248,38035
12-04 22:27:52,0.754,65.829,33.417,0,0,0,0,600,0,1199976448,3863543808,420884480,11730923520,1248,38035
12-04 22:27:53,3.015,65.578,31.407,0,0,0,40960,887,779,1598300160,3463467008,420884480,12121645056,1312,38035
12-04 22:27:54,1.003,65.664,33.083,0.251,0,0,118784,359,107,1996623872,3063373824,420884480,12514627584,1312,38035
12-04 22:27:55,1.515,64.899,33.586,0,0,0,81920,480,0,2397417472,2660884480,420892672,12908580864,1312,38035
12-04 22:27:56,1.500,65.250,33.250,0,0,0,0,420,0,2798120960,2258395136,420892672,13302226944,1312,38035
12-04 22:27:57,1,65.750,33.250,0,0,0,0,900,0,3198046208,1856651264,420892672,13695647744,1312,38035
12-04 22:27:58,0.754,65.578,33.668,0,0,0,0,420,0,3598401536,1454559232,420892672,14089220096,1312,38035
12-04 22:27:59,14.250,25,60.750,0,0,294912,12288,648,149,3666214912,1386332160,420892672,14155882496,1312,38035
12-04 22:28:00,15.250,18.500,66.250,0,0,0,0,420,0,3666214912,1386332160,420892672,14155882496,1312,38035
12-04 22:28:01,14.428,19.652,65.672,0.249,0,0,16384,540,42,3666206720,1386332160,420900864,14155882496,1312,38035
12-04 22:28:02,15.327,18.090,66.583,0,0,0,0,420,0,3666206720,1386332160,420900864,14155882496,1312,38035
12-04 22:28:03,15.672,18.657,65.672,0,0,0,0,804,0,3666206720,1386332160,420900864,14155882496,1312,38035
12-04 22:28:04,14.861,18.640,66.247,0.252,0,0,20480,539,107,3666206720,1386332160,420900864,14155882496,1312,38035
12-04 22:28:05,15.500,18.250,66.250,0,0,0,0,900,0,3666206720,1386332160,420900864,14155882496,1312,38035
12-04 22:28:06,16.834,16.834,66.080,0.251,0,0,20480,420,0,3666329600,1386205184,420904960,14155882496,1312,38035
12-04 22:28:07,15.816,16.837,67.347,0,0,0,0,480,0,3666329600,1386205184,420904960,14155882496,1312,38035
12-04 22:28:08,19.403,17.662,62.935,0,0,0,40960,329,779,3666456576,1386061824,420904960,14155882496,1312,38035
12-04 22:28:09,15.288,18.546,66.165,0,0,0,0,180,107,3666456576,1386061824,420904960,14155882496,1312,38035
12-04 22:28:10,15.750,18.250,66,0,0,0,57344,120,0,3666452480,1386061824,420909056,14155882496,1312,38035
12-04 22:28:11,16,17.750,66,0.250,0,0,16384,120,0,3666452480,1386061824,420909056,14155882496,1312,38035
12-04 22:28:12,16.880,15.601,67.519,0,0,0,0,420,0,3666452480,1386061824,420909056,14155882496,1312,38035
12-04 22:28:13,15.789,18.045,66.165,0,0,0,0,480,0,3666448384,1386061824,420909056,14155886592,1312,38035
12-04 22:28:14,16,17.750,66.250,0,0,0,0,1191,146,3666444288,1386061824,420909056,14155890688,1312,38035
12-04 22:28:15,15.500,18.500,66,0,0,0,0,804,0,3666444288,1386061824,420909056,14155890688,1312,38035
12-04 22:28:16,14.500,19.750,65.500,0.250,0,0,28672,420,0,3666436096,1386061824,420917248,14155890688,1312,38035
12-04 22:28:17,14.286,19.298,66.416,0,0,0,0,60,0,3666436096,1386061824,420917248,14155890688,1312,38035
12-04 22:28:18,22.055,3.509,74.436,0,0,0,0,423,420,3791413248,1142505472,420917248,14387601408,1312,38035
12-04 22:28:19,25.750,0.250,45.500,28.500,0,4096,163794944,411,146,3801661440,1132208128,420921344,14391328768,1312,38037
12-04 22:28:20,17.172,0.758,50.758,31.313,0,8192,216678400,133173,1027740,3799003136,1134841856,420929536,14394228736,1344,38036
12-04 22:28:21,14.610,1.763,66.751,16.877,0,20480,690880512,240819,1689446,3798929408,1134841856,420962304,14394269696,1344,38036
12-04 22:28:22,16.209,0.998,82.544,0.249,0,0,12288,200490,1403124,3798671360,1135095808,420962304,14394273792,1344,38036
12-04 22:28:23,14.975,0.254,84.772,0,0,0,4096,180225,1262131,3798667264,1135095808,420962304,14394277888,1344,38036
12-04 22:28:24,14.536,0.752,84.712,0,0,0,0,227014,1588070,3798667264,1135095808,420962304,14394277888,1344,38036
12-04 22:28:25,14.322,0.503,85.176,0,0,0,0,207710,1448275,3798667264,1135095808,420962304,14394277888,1344,38036
12-04 22:28:26,14.070,0.754,85.176,0,0,0,65536,217764,1526850,3798659072,1135095808,420970496,14394277888,1344,38036
12-04 22:28:27,16.584,0.743,82.673,0,0,0,0,194814,1381342,3798659072,1135095808,420970496,14394277888,1344,38036
12-04 22:28:28,14.106,0,85.642,0.252,0,0,139264,172660,1221625,3798659072,1135095808,420970496,14394277888,1344,38036
12-04 22:28:29,14.106,0.504,85.390,0,0,0,0,175701,1224483,3798659072,1135095808,420970496,14394277888,1344,38036
12-04 22:28:30,14.464,0.499,85.037,0,0,184320,0,192668,1360861,3798654976,1135095808,420970496,14394281984,1344,38042
12-04 22:28:31,13.534,0.501,85.714,0.251,0,0,16384,166694,1181032,3798646784,1135095808,420978688,14394281984,1344,38042
12-04 22:28:32,14.464,0.748,84.788,0,0,0,0,162096,1140048,3798646784,1135095808,420978688,14394281984,1344,38042
12-04 22:28:33,14.322,0.251,85.427,0,0,0,0,141594,997542,3798646784,1135095808,420978688,14394281984,1344,38042
12-04 22:28:34,14.937,0.506,84.304,0.253,0,0,90112,210217,1468740,3798769664,1134968832,420978688,14394281984,1344,38042
12-04 22:28:35,15.347,0.990,83.663,0,0,0,0,236212,1666541,3798769664,1134968832,420978688,14394281984,1344,38042
12-04 22:28:36,14.536,0.251,85.213,0,0,0,0,246132,1731664,3798769664,1134968832,420978688,14394281984,1344,38042
12-04 22:28:37,14.286,0.501,84.962,0.251,0,0,20480,177766,1263462,3798769664,1134968832,420982784,14394277888,1344,38042
12-04 22:28:38,18.114,1.241,80.645,0,0,0,40960,213773,1524861,3799523328,1134206976,420982784,14394286080,1344,38042
12-04 22:28:39,13.889,0.505,85.606,0,0,0,61440,238013,1670565,3799523328,1134206976,420982784,14394286080,1344,38042
12-04 22:28:40,14.573,0.251,85.176,0,0,0,0,171527,1202958,3799523328,1134206976,420982784,14394286080,1344,38042
12-04 22:28:41,13.965,0.249,85.786,0,0,0,0,175273,1239249,3799523328,1134206976,420982784,14394286080,1344,38042
12-04 22:28:42,13.265,0.510,86.224,0,0,0,0,199822,1404434,3799523328,1134206976,420982784,14394286080,1344,38042
12-04 22:28:43,13,0.750,86,0.250,0,0,16384,194842,1364254,3799519232,1134206976,420986880,14394286080,1344,38042
12-04 22:28:44,14.713,0.748,84.539,0,0,0,12288,207464,1449265,3799519232,1134206976,420986880,14394286080,1344,38042
12-04 22:28:45,13.568,0.503,85.930,0,0,0,0,181109,1278853,3799515136,1134206976,420986880,14394290176,1344,38042
12-04 22:28:46,14.536,0.501,84.962,0,0,0,0,139316,980041,3799515136,1134206976,420986880,14394290176,1344,38042
12-04 22:28:47,15.250,0.750,84,0,0,0,0,209182,1483277,3799515136,1134206976,420986880,14394290176,1344,38042
12-04 22:28:48,12.911,0.759,86.329,0,0,0,0,215622,1526850,3799515136,1134206976,420986880,14394290176,1344,38042
12-04 22:28:49,15.038,1.003,83.709,0.251,0,0,69632,173401,1224176,3799871488,1133707264,420995072,14394925056,1344,38044
12-04 22:28:50,14.500,0.500,85,0,0,0,0,152761,1078974,3799871488,1133707264,420995072,14394925056,1344,38044
12-04 22:28:51,14.787,0.501,84.712,0,0,0,0,171417,1201390,3799867392,1133699072,420995072,14394937344,1344,38044
12-04 22:28:52,12.405,0.759,82.025,4.810,0,0,83435520,176913,1261928,3799867392,1133699072,420995072,14394937344,1344,38044
12-04 22:28:53,14.536,0.251,85.213,0,0,0,4096,210180,1484324,3799867392,1133699072,420995072,14394937344,1344,38044
12-04 22:28:54,15,0.500,84,0.500,0,0,172032,191645,1343506,3799867392,1133699072,421003264,14394929152,1344,38044
12-04 22:28:55,14.106,0.252,85.642,0,0,0,0,237367,1651855,3799859200,1133699072,421003264,14394937344,1344,38044
