"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud105",,,,"User:","gsd"
"Cmdline:","dstat -tcdnm --fs --noheaders --output /home/gsd/sparknvme/postgresql/OIS_16384_4_run.csv",,,,"Date:","21 Mar 2020 00:55:58 WET"
"system","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"filesystem",
"time","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","files","inodes"
21-03 00:55:58,4.065,0.681,95.029,0.225,0,5445879.995,1452500.120,0,0,1127538688,13635452928,355598336,1382920192,2048,70705
21-03 00:55:59,1.759,52.764,45.477,0,0,0,0,1837,1505,1502879744,13260095488,355598336,1752940544,2048,70709
21-03 00:56:00,0.754,65.829,33.417,0,0,0,0,281,960,1901256704,12861718528,355598336,2144862208,2048,70709
21-03 00:56:01,0.750,65.750,33.500,0,0,0,0,369,377,2308034560,12454940672,355598336,2544050176,2048,70709
21-03 00:56:02,1.250,65.250,33.500,0,0,0,0,111,377,2701713408,12061261824,355598336,2930962432,2048,70709
21-03 00:56:03,1,65.500,33.500,0,0,0,57344,701,960,3094523904,11668451328,355598336,3317063680,2048,70709
21-03 00:56:04,1.759,64.824,33.417,0,0,0,98304,509,107,3486744576,11276222464,355606528,3702878208,2048,70709
21-03 00:56:05,0.754,65.829,33.417,0,0,0,0,591,377,3878338560,10884628480,355606528,4088074240,2048,70709
21-03 00:56:06,1,65.500,33.500,0,0,0,0,221,960,4269060096,10493530112,355606528,4472303616,2048,70709
21-03 00:56:07,8.020,45.614,46.366,0,0,0,0,502,377,4504965120,10256576512,355606528,4704522240,2048,70709
21-03 00:56:08,16.456,16.456,67.089,0,0,0,0,591,377,4505853952,10255687680,355606528,4705370112,2048,70709
21-03 00:56:09,14.742,20.393,64.619,0.246,0,0,24576,1364,1596,4505849856,10255687680,355610624,4705370112,2048,70709
21-03 00:56:10,16.250,18,65.750,0,0,0,0,591,377,4505849856,10255687680,355610624,4705370112,2048,70709
21-03 00:56:11,16.583,17.337,66.080,0,0,0,4096,860,1205,4505849856,10255687680,355610624,4705370112,2048,70709
21-03 00:56:12,16.584,18.069,65.347,0,0,0,0,641,960,4505849856,10255687680,355610624,4705370112,2048,70709
