"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud105",,,,"User:","gsd"
"Cmdline:","dstat -tcdnm --fs --noheaders --output /home/gsd/sparknvme/postgresql/twitter_BASELINE_10_4_run.csv",,,,"Date:","10 Apr 2020 19:29:51 WEST"
"system","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"filesystem",
"time","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","files","inodes"
10-04 19:29:51,4.303,0.619,94.712,0.366,0,4107253.758,1628790.039,0,0,351313920,14313078784,54423552,1850175488,1248,25749
10-04 19:29:52,0.500,0.500,97.500,1.500,0,0,4644864,4246,1501,339746816,14324506624,54448128,1850830848,1152,25744
10-04 19:29:53,0.504,0,99.496,0,0,0,3469312,0,0,339972096,14324281344,54448128,1850830848,1152,25744
10-04 19:29:54,0.752,28.571,70.677,0,0,0,733184,1877,1276,577896448,14086356992,54448128,2084569088,1152,25748
10-04 19:29:55,1.003,66.165,32.832,0,0,0,0,752,0,977362944,13686890496,54448128,2477989888,1152,25748
10-04 19:29:56,0.752,66.165,33.083,0,0,0,0,540,0,1376956416,13287297024,54448128,2870870016,1152,25748
10-04 19:29:57,0.501,66.416,32.832,0.251,0,0,180224,402,146,1775554560,12887519232,54464512,3262550016,1152,25748
10-04 19:29:58,1.003,65.915,33.083,0,0,0,0,180,0,2176663552,12484521984,54464512,3657125888,1152,25748
10-04 19:29:59,0.505,65.909,33.586,0,0,0,0,60,0,2577453056,12082143232,54464512,4050673664,1152,25748
10-04 19:30:00,1.005,65.327,33.668,0,0,0,0,120,0,2976628736,11681050624,54464512,4443406336,1152,25748
10-04 19:30:01,0.253,66.414,33.333,0,0,0,0,0,0,3379367936,11276640256,54464512,4839809024,1152,25748
10-04 19:30:02,4.250,57.500,38.250,0,0,0,12288,60,146,3715956736,10938425344,54472704,5171183616,1152,25748
10-04 19:30:03,15.500,18,66,0.500,0,0,16384,779,0,3718098944,10936266752,54480896,5173268480,1152,25748
10-04 19:30:04,16.962,16.203,66.835,0,0,0,4096,1073,779,3718098944,10936266752,54480896,5173268480,1152,25748
10-04 19:30:05,17.143,14.286,68.571,0,0,0,0,480,0,3718098944,10936266752,54480896,5173268480,1152,25748
10-04 19:30:06,14.214,20.200,65.586,0,0,0,8192,120,0,3718098944,10936266752,54480896,5173268480,1152,25748
10-04 19:30:07,16.414,16.667,66.667,0.253,0,0,28672,60,146,3718217728,10936139776,54489088,5173268480,1152,25748
10-04 19:30:08,14.528,21.308,63.923,0.242,0,0,20480,60,0,3718209536,10936139776,54497280,5173268480,1152,25748
10-04 19:30:09,16.176,19.118,64.706,0,0,0,0,420,0,3718209536,10936139776,54497280,5173268480,1152,25748
10-04 19:30:10,16.915,17.413,65.672,0,0,0,0,480,0,3718209536,10936139776,54497280,5173268480,1152,25748
10-04 19:30:11,15.403,20.049,64.548,0,0,0,0,420,0,3718209536,10936139776,54497280,5173268480,1152,25748
10-04 19:30:12,18.984,10.160,70.856,0,0,0,12288,60,146,3718209536,10936139776,54505472,5173260288,1152,25748
10-04 19:30:13,17.293,16.541,65.915,0.251,0,0,114688,0,0,3718193152,10936139776,54513664,5173268480,1152,25748
