"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud105",,,,"User:","gsd"
"Cmdline:","dstat -tcdnm --fs --noheaders --output /home/gsd/sparknvme/postgresql/wikipedia_OIS_10_1_run.csv",,,,"Date:","14 Apr 2020 08:36:50 WEST"
"system","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"filesystem",
"time","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","files","inodes"
14-04 08:36:50,4.252,0.603,94.784,0.362,0,3938307.054,1652520.569,0,0,296701952,4443054080,464834560,11069595648,1344,73660
14-04 08:36:51,1.005,7.035,91.457,0.503,0,0,356352,5885,2363,402079744,4337283072,464834560,11174850560,1280,73666
14-04 08:36:52,0.998,65.835,33.167,0,0,0,4096,269,866,811229184,3926458368,464834560,11576619008,1280,73666
14-04 08:36:53,1.008,65.491,33.501,0,0,0,1327104,716,0,1219342336,3516375040,464834560,11977400320,1280,73666
14-04 08:36:54,0.504,66.247,32.242,1.008,0,0,138223616,420,0,1623953408,3109978112,464834560,12376301568,1280,73666
14-04 08:36:55,1.519,68.608,23.038,6.835,0,0,1139666944,480,0,2024415232,2707910656,464834560,12770111488,1280,73666
14-04 08:36:56,1.005,65.578,33.417,0,0,0,159744,0,0,2430062592,2300526592,464834560,13168787456,1280,73666
14-04 08:36:57,1.005,65.578,33.417,0,0,0,0,228,209,2828513280,1900339200,464834560,13560180736,1280,73666
14-04 08:36:58,1,65.500,33.500,0,0,12288,53248,1394,934,3224891392,1502208000,464834560,13953081344,1248,73612
14-04 08:36:59,1.515,65.404,33.081,0,0,0,0,120,0,3625345024,1099796480,464834560,14347350016,1248,73612
14-04 08:37:00,13.466,24.439,62.095,0,0,4096,0,60,0,3670577152,1054367744,464834560,14392655872,1248,73612
14-04 08:37:01,14.713,19.202,66.085,0,0,0,0,120,0,3670577152,1054367744,464834560,14392655872,1248,73612
14-04 08:37:02,16.625,16.625,66.247,0.504,0,0,86016,60,107,3670568960,1054367744,464842752,14392655872,1248,73612
14-04 08:37:03,16.209,17.706,66.085,0,0,0,0,552,0,3670568960,1054367744,464842752,14392655872,1248,73612
14-04 08:37:04,14.500,19.250,66.250,0,0,0,0,900,0,3670568960,1054367744,464842752,14392655872,1248,73612
14-04 08:37:05,15.539,18.546,65.915,0,0,0,8192,960,0,3670568960,1054367744,464842752,14392655872,1248,73612
14-04 08:37:06,16.543,18.025,65.432,0,0,0,0,900,0,3670568960,1054367744,464842752,14392655872,1248,73612
14-04 08:37:07,15.960,18.204,65.586,0.249,0,0,57344,838,866,3670437888,1054494720,464850944,14392651776,1248,73612
14-04 08:37:08,14.356,20.297,65.347,0,0,0,0,420,0,3670433792,1054494720,464850944,14392655872,1248,73612
14-04 08:37:09,15.556,19.012,65.432,0,0,0,0,480,0,3670433792,1054494720,464850944,14392655872,1248,73612
14-04 08:37:10,17.424,17.424,65.152,0,0,0,36864,0,0,3670687744,1054240768,464850944,14392655872,1248,73612
14-04 08:37:11,17.268,14.691,68.041,0,0,0,0,60,0,3670687744,1054240768,464850944,14392655872,1248,73612
14-04 08:37:12,16.414,16.667,66.919,0,0,0,53248,0,107,3670687744,1054240768,464850944,14392655872,1248,73612
14-04 08:37:13,14.392,19.851,65.509,0.248,0,0,16384,179,0,3670679552,1054240768,464855040,14392659968,1248,73612
14-04 08:37:14,16.877,16.373,66.751,0,0,0,0,0,0,3670675456,1054240768,464855040,14392664064,1248,73612
14-04 08:37:15,14.428,19.652,65.920,0,0,0,0,384,0,3670675456,1054240768,464855040,14392664064,1248,73612
14-04 08:37:16,15.461,18.454,66.085,0,0,0,0,0,0,3670675456,1054240768,464855040,14392664064,1248,73612
14-04 08:37:17,15.909,17.424,66.667,0,0,0,12288,209,107,3670675456,1054240768,464855040,14392664064,1248,73612
14-04 08:37:18,15.385,18.859,65.509,0.248,0,0,16384,60,0,3670671360,1054240768,464859136,14392664064,1248,73612
14-04 08:37:19,21.554,3.759,74.687,0,0,0,0,963,420,3796004864,810430464,464859136,14624137216,1248,73612
