"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud105",,,,"User:","gsd"
"Cmdline:","dstat -tcdnm --fs --noheaders --output /home/gsd/sparknvme/postgresql/wikipedia_OIS_10_2_run.csv",,,,"Date:","14 Apr 2020 09:17:27 WEST"
"system","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"filesystem",
"time","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","files","inodes"
14-04 09:17:27,4.255,0.603,94.781,0.361,0,3936995.752,1652458.699,0,0,292986880,4442152960,467005440,11071811584,1280,73617
14-04 09:17:28,1.003,8.020,90.727,0.251,0,0,151552,4931,2273,406908928,4327870464,467005440,11185971200,1216,73619
14-04 09:17:29,0.750,65.750,33.500,0,0,0,0,480,0,812773376,3920351232,467005440,11584323584,1216,73619
14-04 09:17:30,1.511,64.987,33.501,0,0,0,0,420,0,1219039232,3512135680,467005440,11983712256,1216,73619
14-04 09:17:31,0.754,66.080,32.161,1.005,0,0,140320768,960,0,1623273472,3106115584,467005440,12381401088,1216,73619
14-04 09:17:32,1.018,68.957,23.155,6.870,0,0,1137418240,639,149,2022031360,2705670144,467005440,12773810176,1216,73619
14-04 09:17:33,1.250,65.250,33.250,0.250,0,0,155648,540,0,2425835520,2300227584,467005440,13170552832,1216,73619
14-04 09:17:34,1.256,65.075,33.668,0,0,0,0,0,0,2828660736,1895452672,467005440,13566734336,1216,73619
14-04 09:17:35,0.750,65.750,33.500,0,0,0,0,60,0,3230629888,1491730432,467005440,13961871360,1216,73619
14-04 09:17:36,0.998,65.586,33.416,0,0,0,0,60,0,3632603136,1088020480,467005440,14356869120,1216,73619
14-04 09:17:37,13.033,24.561,62.406,0,0,0,794624,179,107,3669803008,1050603520,467005440,14394789888,1216,73619
14-04 09:17:38,17.884,17.128,64.736,0.252,0,0,90112,689,779,3671261184,1049141248,467009536,14394789888,1216,73619
14-04 09:17:39,16.414,16.919,66.667,0,0,0,0,864,0,3670687744,1049714688,467009536,14394789888,1216,73619
14-04 09:17:40,15.556,19.012,65.432,0,0,0,0,900,0,3670687744,1049714688,467009536,14394789888,1216,73619
14-04 09:17:41,15.500,18.500,66,0,0,0,0,1050,90,3670687744,1049714688,467009536,14394789888,1216,73619
14-04 09:17:42,18.159,18.657,63.184,0,0,0,45056,959,107,3670052864,1050349568,467009536,14394789888,1216,73619
14-04 09:17:43,14.787,18.797,66.165,0.251,0,0,20480,480,0,3670048768,1050349568,467013632,14394789888,1216,73619
14-04 09:17:44,16.332,17.337,66.332,0,0,0,57344,480,0,3670048768,1050349568,467013632,14394789888,1216,73619
14-04 09:17:45,14.500,19.500,66,0,0,0,0,540,0,3670048768,1050349568,467013632,14394789888,1216,73619
14-04 09:17:46,15.212,18.703,66.085,0,0,0,0,480,0,3670048768,1050349568,467013632,14394789888,1216,73619
14-04 09:17:47,13.896,20.596,65.509,0,0,0,0,218,107,3670048768,1050349568,467013632,14394789888,1216,73619
14-04 09:17:48,15,19,65.750,0.250,0,0,16384,60,0,3670044672,1050349568,467013632,14394793984,1216,73619
14-04 09:17:49,15.288,18.296,66.416,0,0,0,0,540,0,3670044672,1050349568,467013632,14394793984,1216,73619
14-04 09:17:50,15.327,18.090,66.583,0,0,0,0,840,0,3670044672,1050349568,467013632,14394793984,1216,73619
14-04 09:17:51,15.250,18.750,66,0,0,0,0,1224,0,3670040576,1050349568,467013632,14394798080,1216,73619
14-04 09:17:52,16.121,17.380,66.499,0,0,0,12288,509,107,3670040576,1050349568,467013632,14394798080,1216,73619
14-04 09:17:53,15.920,18.657,64.925,0.498,0,0,20480,887,779,3670040576,1050349568,467013632,14394798080,1216,73619
14-04 09:17:54,16.291,17.293,66.416,0,0,0,0,420,0,3670040576,1050349568,467013632,14394798080,1216,73619
14-04 09:17:55,15.288,18.546,66.165,0,0,0,0,480,0,3670040576,1050349568,467013632,14394798080,1216,73619
14-04 09:17:56,21.750,3.500,74.750,0,0,0,0,423,420,3795615744,806285312,467013632,14626471936,1216,73619
14-04 09:17:57,25.564,0.251,74.185,0,0,0,90112,149,107,3804434432,797396992,467013632,14630256640,1216,73621
14-04 09:17:58,16.080,0.503,83.166,0.251,0,0,43134976,138538,949497,3801710592,800083968,467013632,14632005632,1248,73620
