"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud105",,,,"User:","gsd"
"Cmdline:","dstat -tcdnm --fs --noheaders --output /home/gsd/sparknvme/postgresql/wikipedia_OIS_10_4_run.csv",,,,"Date:","14 Apr 2020 10:38:41 WEST"
"system","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"filesystem",
"time","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","files","inodes"
14-04 10:38:41,4.262,0.603,94.773,0.361,0,3934375.705,1652334.401,0,0,293564416,4434284544,470585344,11075149824,1280,73619
14-04 10:38:42,1.250,8.750,90,0,0,0,110592,4208,2971,407597056,4319989760,470585344,11188461568,1184,73621
14-04 10:38:43,0.756,65.995,33.249,0,0,0,0,540,0,804188160,3921580032,470585344,11578580992,1184,73621
14-04 10:38:44,0.756,65.995,33.249,0,0,0,0,0,0,1201610752,3522535424,470585344,11969687552,1184,73621
14-04 10:38:45,0.995,65.672,33.333,0,0,0,0,60,0,1600077824,3122200576,470585344,12361609216,1184,73621
14-04 10:38:46,2.290,69.466,21.628,6.616,0,0,1277775872,0,0,1990828032,2729807872,470589440,12745945088,1216,73621
14-04 10:38:47,1.250,65.250,33.250,0.250,0,0,176128,120,107,2380709888,2338271232,470589440,13129728000,1216,73621
14-04 10:38:48,1.750,64.750,33.500,0,0,0,0,299,42,2778386432,1938890752,470589440,13520433152,1216,73621
14-04 10:38:49,1.508,64.824,33.668,0,0,0,0,180,0,3175395328,1540079616,470589440,13910794240,1216,73621
14-04 10:38:50,1.003,65.414,33.584,0,0,0,2031616,60,0,3572215808,1141522432,470589440,14301171712,1216,73621
14-04 10:38:51,12.405,28.861,58.734,0,0,0,0,384,0,3670269952,1042976768,470589440,14397898752,1216,73621
14-04 10:38:52,14.925,19.403,65.423,0.249,0,0,61440,334,146,3670269952,1042976768,470589440,14397898752,1216,73621
14-04 10:38:53,16.915,17.413,65.672,0,0,0,0,288,90,3670138880,1043103744,470589440,14397902848,1216,73621
14-04 10:38:54,15.403,19.804,64.792,0,0,0,0,0,0,3670138880,1043103744,470589440,14397902848,1216,73621
14-04 10:38:55,15.423,18.657,65.920,0,0,0,0,60,0,3670138880,1043103744,470589440,14397902848,1216,73621
14-04 10:38:56,16.169,18.159,65.672,0,0,0,8192,0,0,3670138880,1043103744,470589440,14397902848,1216,73621
14-04 10:38:57,16.080,17.839,65.829,0.251,0,0,53248,448,886,3670138880,1043103744,470589440,14397902848,1216,73621
14-04 10:38:58,18.085,11.436,70.479,0,0,0,0,0,0,3670138880,1043103744,470589440,14397902848,1216,73621
14-04 10:38:59,15.062,19.753,65.185,0,0,0,0,60,0,3670138880,1043103744,470589440,14397902848,1216,73621
14-04 10:39:00,17.215,15.949,66.835,0,0,0,0,0,0,3670138880,1043103744,470589440,14397902848,1216,73621
14-04 10:39:01,16.873,17.370,65.757,0,0,0,0,120,0,3670138880,1043103744,470589440,14397902848,1216,73621
14-04 10:39:02,15.423,18.905,65.423,0.249,0,0,28672,469,146,3670134784,1043103744,470593536,14397902848,1216,73621
14-04 10:39:03,16.418,18.159,65.423,0,0,0,0,444,0,3670134784,1043103744,470593536,14397902848,1216,73621
14-04 10:39:04,15.990,17.005,67.005,0,0,0,0,332,0,3670134784,1043103744,470593536,14397902848,1216,73621
14-04 10:39:05,15.174,19.154,65.672,0,0,0,0,60,0,3670257664,1042976768,470593536,14397906944,1216,73621
14-04 10:39:06,15.750,18.250,66,0,0,0,0,0,0,3670257664,1042976768,470593536,14397906944,1216,73621
14-04 10:39:07,17.456,16.708,65.586,0.249,0,0,28672,209,107,3670253568,1042976768,470597632,14397906944,1216,73621
14-04 10:39:08,17.172,15.909,66.919,0,0,0,0,60,0,3670249472,1042976768,470597632,14397911040,1216,73621
14-04 10:39:09,15.881,18.610,65.509,0,0,0,0,120,0,3670249472,1042976768,470597632,14397911040,1216,73621
14-04 10:39:10,19.652,7.960,72.388,0,0,0,0,423,420,3795144704,799547392,470597632,14629396480,1248,73621
14-04 10:39:11,25,0.250,74.500,0.250,0,0,61440,60,0,3804147712,790523904,470597632,14632570880,1248,73623
14-04 10:39:12,19.949,0.505,79.293,0.253,0,0,43048960,72251,486363,3801526272,793120768,470605824,14635184128,1280,73622
14-04 10:39:13,16.327,1.020,82.653,0,0,0,32768,124920,876097,3801526272,793120768,470605824,14635184128,1280,73622
14-04 10:39:14,17.766,0.761,81.472,0,0,0,0,117037,832226,3801526272,793120768,470605824,14635184128,1280,73622
14-04 10:39:15,18.342,1.005,80.653,0,0,0,0,125361,875551,3801522176,793104384,470605824,14635188224,1280,73622
14-04 10:39:16,20.551,1.504,77.945,0,0,0,36864,148174,1021535,3802537984,792088576,470605824,14635188224,1280,73622
14-04 10:39:17,18.687,0.758,80.303,0.253,0,0,212992,136137,954541,3802529792,792088576,470609920,14635188224,1280,73622
14-04 10:39:18,17.766,0.508,81.726,0,0,0,49152,95899,672144,3802529792,792088576,470609920,14635188224,1280,73622
14-04 10:39:19,19.144,0.756,80.101,0,0,0,0,112109,793990,3802529792,792088576,470609920,14635188224,1280,73622
14-04 10:39:20,17.632,0.756,81.612,0,0,0,0,91254,635385,3802529792,792088576,470609920,14635188224,1280,73622
14-04 10:39:21,17.722,1.013,81.266,0,0,0,0,122829,872209,3802529792,792088576,470609920,14635188224,1280,73622
14-04 10:39:22,19.799,0.752,79.198,0.251,0,0,16384,127102,878883,3802525696,792088576,470614016,14635188224,1280,73622
14-04 10:39:23,16.877,1.008,82.116,0,0,0,77824,109755,773878,3802521600,792088576,470614016,14635192320,1280,73622
14-04 10:39:24,19.144,0.504,80.353,0,0,0,0,105132,733248,3802521600,792088576,470614016,14635192320,1280,73622
14-04 10:39:25,17.172,0.505,82.323,0,0,0,0,93948,669282,3802521600,792088576,470614016,14635192320,1280,73622
14-04 10:39:26,18.228,0.253,81.519,0,0,0,8192,110432,773984,3802521600,792088576,470614016,14635192320,1280,73622
14-04 10:39:27,18.182,1.515,80.051,0.253,0,0,69632,102774,714078,3802517504,792088576,470618112,14635192320,1280,73622
14-04 10:39:28,20.101,0.754,79.146,0,0,0,0,122784,855456,3802517504,792088576,470618112,14635192320,1280,73622
14-04 10:39:29,19.289,0.508,80.203,0,0,0,0,126413,878686,3802517504,792088576,470618112,14635192320,1280,73622
14-04 10:39:30,19.647,1.008,79.345,0,0,0,0,118579,832226,3802513408,792088576,470618112,14635196416,1280,73622
14-04 10:39:31,18.892,0.504,80.605,0,0,0,0,119601,837950,3802513408,792088576,470618112,14635196416,1280,73622
14-04 10:39:32,17.632,0.252,82.116,0,0,0,12288,96614,689757,3802513408,792088576,470618112,14635196416,1280,73622
14-04 10:39:33,19.451,0.499,79.800,0.249,0,0,16384,101954,712880,3802505216,792088576,470626304,14635196416,1280,73622
14-04 10:39:34,18.782,0.508,80.711,0,0,0,0,123121,858318,3802505216,792088576,470626304,14635196416,1280,73622
14-04 10:39:35,18.546,0.752,80.702,0,0,0,0,119167,835932,3802505216,792088576,470626304,14635196416,1280,73622
14-04 10:39:36,18.388,0.756,80.856,0,0,0,0,114483,810741,3802505216,792088576,470626304,14635196416,1280,73622
14-04 10:39:37,18.020,1.015,80.964,0,0,0,0,103184,714536,3802505216,792088576,470626304,14635196416,1280,73622
14-04 10:39:38,19.444,0.505,79.798,0.253,0,0,28672,113074,794707,3802492928,792088576,470634496,14635200512,1280,73622
14-04 10:39:39,18.782,1.015,80.203,0,0,0,0,115760,813975,3802492928,792088576,470634496,14635200512,1280,73622
14-04 10:39:40,17.468,0.759,81.772,0,0,0,0,91409,634663,3802492928,792088576,470634496,14635200512,1280,73622
14-04 10:39:41,16.962,1.266,81.772,0,0,0,40960,90557,647677,3803357184,791072768,470634496,14635847680,1280,73624
14-04 10:39:42,18.782,1.269,79.188,0.761,0,0,83312640,131202,917485,3804192768,790237184,470634496,14635847680,1280,73624
14-04 10:39:43,15.539,0.752,83.459,0.251,0,0,184320,158005,1102734,3803860992,790564864,470638592,14635847680,1280,73624
14-04 10:39:44,17.468,0.506,82.025,0,0,0,0,89631,632252,3803860992,790564864,470638592,14635847680,1280,73624
14-04 10:39:45,18.546,1.003,80.451,0,0,0,0,93305,668165,3803860992,790564864,470638592,14635847680,1280,73624
14-04 10:39:46,16.709,1.013,82.278,0,0,0,36864,139435,977937,3803480064,790945792,470638592,14635847680,1280,73624
14-04 10:39:47,15.038,0.501,84.461,0,0,0,245760,190937,1326889,3803480064,790945792,470638592,14635847680,1280,73624
14-04 10:39:48,14.750,0.500,84.500,0.250,0,0,53248,200009,1406236,3803480064,790945792,470638592,14635847680,1280,73624
14-04 10:39:49,15,0.500,84.250,0.250,0,0,24576,247805,1730436,3803475968,790945792,470642688,14635847680,1280,73624
14-04 10:39:50,14.573,0.503,84.925,0,0,0,0,188262,1320785,3803475968,790945792,470642688,14635847680,1280,73624
14-04 10:39:51,13.671,0.506,85.823,0,0,0,0,146578,1021535,3803475968,790945792,470642688,14635847680,1280,73624
14-04 10:39:52,14.250,1,84.750,0,0,0,0,174513,1219364,3803475968,790945792,470642688,14635847680,1280,73624
