"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud105",,,,"User:","gsd"
"Cmdline:","dstat -tcdnm --fs --noheaders --output /home/gsd/sparknvme/postgresql/wikipedia_OIS_10_3_run.csv",,,,"Date:","14 Apr 2020 09:58:04 WEST"
"system","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"filesystem",
"time","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","files","inodes"
14-04 09:58:04,4.258,0.603,94.777,0.361,0,3935685.284,1652452.461,0,0,293130240,4438700032,468783104,11073179648,1280,73611
14-04 09:58:05,1.259,5.038,93.451,0.252,0,0,221184,5141,2363,390139904,4341448704,468787200,11170037760,1216,73615
14-04 09:58:06,1.493,65.174,33.333,0,0,0,3870720,120,0,788725760,3940962304,468787200,11562455040,1216,73615
14-04 09:58:07,1.253,65.163,33.584,0,0,0,0,170,107,1186418688,3541708800,468787200,11953090560,1216,73615
14-04 09:58:08,1.253,65.664,31.830,1.253,0,0,171180032,60,0,1587519488,3138772992,468787200,12348620800,1216,73615
14-04 09:58:09,1.018,67.430,26.972,4.580,0,0,693612544,420,0,1987067904,2737401856,468791296,12741197824,1216,73615
14-04 09:58:10,1.244,65.672,33.085,0,0,0,143360,1169,779,2388275200,2334453760,468795392,13135327232,1216,73615
14-04 09:58:11,1,65.750,33.250,0,0,0,0,840,0,2788663296,1932296192,468795392,13529264128,1216,73615
14-04 09:58:12,1.008,65.239,33.753,0,0,0,0,891,146,3189170176,1530052608,468795392,13922840576,1216,73615
14-04 09:58:13,1.750,65,33.250,0,0,0,0,60,0,3588677632,1128808448,468795392,14315655168,1216,73615
14-04 09:58:14,14.213,27.411,58.376,0,0,0,36864,120,0,3670577152,1046499328,468795392,14396137472,1216,73615
14-04 09:58:15,16.080,17.337,66.583,0,0,0,0,324,0,3670577152,1046499328,468795392,14396137472,1216,73615
14-04 09:58:16,15.556,19.259,64.938,0.247,0,0,77824,480,0,3670573056,1046499328,468799488,14396137472,1216,73615
14-04 09:58:17,15.920,18.159,65.920,0,0,0,0,540,188,3670573056,1046499328,468799488,14396137472,1216,73615
14-04 09:58:18,15.539,18.296,66.165,0,0,0,0,899,0,3670573056,1046499328,468799488,14396137472,1216,73615
14-04 09:58:19,16.667,17.413,65.672,0.249,0,0,8192,60,0,3670573056,1046499328,468799488,14396137472,1216,73615
14-04 09:58:20,15.327,18.342,66.332,0,0,0,0,60,0,3670573056,1046499328,468799488,14396137472,1216,73615
14-04 09:58:21,14.787,18.797,66.416,0,0,0,0,0,0,3670573056,1046499328,468799488,14396137472,1216,73615
14-04 09:58:22,16.919,16.414,66.414,0.253,0,0,32768,179,107,3670564864,1046499328,468803584,14396141568,1216,73615
14-04 09:58:23,15.881,19.107,65.012,0,0,0,0,291,167,3670945792,1046118400,468803584,14396141568,1216,73615
14-04 09:58:24,16.250,17.500,66.250,0,0,0,0,60,0,3670945792,1046118400,468803584,14396141568,1216,73615
14-04 09:58:25,16.459,17.706,65.835,0,0,0,4096,329,779,3670945792,1046118400,468803584,14396141568,1216,73615
14-04 09:58:26,15.920,18.159,65.920,0,0,0,0,120,0,3670945792,1046118400,468803584,14396141568,1216,73615
14-04 09:58:27,15.212,18.953,65.586,0.249,0,0,49152,623,149,3670941696,1046118400,468807680,14396141568,1216,73615
14-04 09:58:28,15.960,17.955,66.085,0,0,0,0,60,0,3670937600,1046118400,468807680,14396145664,1216,73615
14-04 09:58:29,15.212,18.953,65.835,0,0,0,0,420,0,3670937600,1046118400,468807680,14396145664,1216,73615
14-04 09:58:30,16,17.750,66.250,0,0,0,0,480,0,3670937600,1046118400,468807680,14396145664,1216,73615
14-04 09:58:31,15.461,18.454,66.085,0,0,0,0,420,0,3670937600,1046118400,468807680,14396145664,1216,73615
14-04 09:58:32,16.792,17.293,65.915,0,0,0,28672,60,146,3670933504,1046118400,468811776,14396145664,1216,73615
14-04 09:58:33,21.500,4.250,74.250,0,0,0,0,755,420,3795947520,802562048,468811776,14627631104,1216,73615
14-04 09:58:34,25,0.250,74.500,0.250,0,0,10145792,60,0,3805523968,792965120,468811776,14631370752,1216,73617
14-04 09:58:35,16.792,0.752,82.206,0.251,0,0,57344,116266,923065,3803484160,794988544,468811776,14634123264,1248,73616
14-04 09:58:36,14.322,0.503,85.176,0,0,0,0,188753,1323361,3803484160,794988544,468811776,14634123264,1248,73616
14-04 09:58:37,15,0.500,84.500,0,0,0,0,210971,1482579,3803480064,794988544,468811776,14634127360,1248,73616
14-04 09:58:38,15.152,0.253,84.343,0.253,0,0,208896,197748,1384344,3803475968,794988544,468811776,14634131456,1248,73616
14-04 09:58:39,14.721,0.508,84.518,0.254,0,0,32821248,190754,1346485,3803475968,794988544,468811776,14634131456,1248,73616
14-04 09:58:40,13.466,0.748,85.786,0,0,0,4096,196814,1386360,3803475968,794988544,468811776,14634131456,1248,73616
14-04 09:58:41,14.861,0.252,84.887,0,0,0,0,202462,1423823,3803475968,794988544,468811776,14634131456,1248,73616
14-04 09:58:42,15.960,0.249,83.791,0,0,0,0,232678,1646019,3803471872,794988544,468811776,14634135552,1248,73616
14-04 09:58:43,14.899,0.253,84.596,0.253,0,0,237568,265459,1874793,3803471872,794988544,468815872,14634131456,1248,73616
14-04 09:58:44,17.866,0.744,81.390,0,0,0,36864,255511,1790005,3803607040,794853376,468815872,14634131456,1248,73616
14-04 09:58:45,13.602,0.252,86.146,0,0,0,0,174860,1224337,3803717632,794734592,468815872,14634135552,1248,73616
14-04 09:58:46,15.500,0.500,84,0,0,0,0,209505,1485866,3803717632,794734592,468815872,14634135552,1248,73616
14-04 09:58:47,15.288,0.501,84.211,0,0,0,0,258798,1812276,3803717632,794734592,468815872,14634135552,1248,73616
14-04 09:58:48,12.911,0.253,86.329,0.506,0,0,69632,183390,1302912,3803717632,794734592,468819968,14634131456,1248,73616
14-04 09:58:49,14.536,0.251,84.962,0.251,0,0,8192,223973,1588979,3803709440,794734592,468819968,14634139648,1248,73616
14-04 09:58:50,16.790,0.247,82.963,0,0,0,0,234712,1668033,3803709440,794734592,468819968,14634139648,1248,73616
14-04 09:58:51,15.443,0.253,84.304,0,0,0,0,232965,1628908,3803709440,794734592,468819968,14634139648,1248,73616
14-04 09:58:52,13.602,0.252,86.146,0,0,0,0,188905,1340560,3803709440,794734592,468819968,14634139648,1248,73616
14-04 09:58:53,14.963,0.998,84.040,0,0,0,20480,240193,1689803,3803705344,794734592,468819968,14634143744,1248,73616
14-04 09:58:54,15.327,0.503,83.920,0.251,0,0,12288,187254,1323181,3803697152,794734592,468824064,14634147840,1248,73616
14-04 09:58:55,14.322,0.754,84.925,0,0,0,4096,162948,1143773,3803697152,794734592,468824064,14634147840,1248,73616
14-04 09:58:56,14.824,0.503,84.673,0,0,0,0,189582,1324684,3803697152,794734592,468824064,14634147840,1248,73616
14-04 09:58:57,15.174,0.746,84.080,0,0,0,0,193251,1363028,3803697152,794734592,468824064,14634147840,1248,73616
14-04 09:58:58,15.327,0.503,84.171,0,0,0,0,186963,1320413,3803697152,794734592,468824064,14634147840,1248,73616
14-04 09:58:59,14.899,0.505,84.091,0.505,0,0,20480,181484,1265053,3803697152,794734592,468824064,14634147840,1248,73616
14-04 09:59:00,15.038,0.501,84.461,0,0,0,32768,175099,1240033,3803697152,794734592,468824064,14634147840,1248,73616
14-04 09:59:01,14.610,0.504,84.887,0,0,0,0,133241,938273,3803697152,794734592,468824064,14634147840,1248,73616
14-04 09:59:02,14.610,0.756,84.635,0,0,0,0,157398,1119836,3803693056,794734592,468824064,14634151936,1248,73616
14-04 09:59:03,14.141,0.758,85.101,0,0,0,0,177348,1260315,3803693056,794734592,468824064,14634151936,1248,73616
14-04 09:59:04,14.536,0.501,84.712,0.251,0,0,57344,179536,1262495,3804049408,794226688,468828160,14634799104,1280,73618
14-04 09:59:05,13.889,0.758,84.848,0.505,0,0,83283968,134050,955415,3804016640,794259456,468828160,14634799104,1280,73618
14-04 09:59:06,13.534,1.504,84.962,0,0,0,0,124642,878519,3804016640,794259456,468828160,14634799104,1280,73618
14-04 09:59:07,14.963,0.499,84.539,0,0,0,0,134610,956972,3804016640,794259456,468828160,14634799104,1280,73618
14-04 09:59:08,14.899,0.505,84.596,0,0,0,0,146148,1038258,3804016640,794259456,468828160,14634799104,1280,73618
14-04 09:59:09,13.217,0.998,85.536,0.249,0,0,147456,136923,976916,3804012544,794259456,468828160,14634803200,1280,73618
14-04 09:59:10,15.212,0.748,83.791,0.249,0,0,274432,140654,998589,3804012544,794259456,468828160,14634803200,1280,73618
14-04 09:59:11,14.646,0.253,85.101,0,0,0,0,221594,1567209,3804012544,794259456,468828160,14634803200,1280,73618
14-04 09:59:12,15.250,0.500,84.250,0,0,0,0,218662,1527353,3804012544,794259456,468828160,14634803200,1280,73618
14-04 09:59:13,14.286,0.752,84.962,0,0,0,0,177974,1259161,3804008448,794259456,468828160,14634807296,1280,73618
14-04 09:59:14,14.750,0.750,84.250,0.250,0,0,61440,186841,1305769,3803246592,795021312,468828160,14634807296,1280,73618
14-04 09:59:15,13.065,0.503,86.432,0,0,0,0,169519,1198533,3803246592,795021312,468828160,14634807296,1280,73618
14-04 09:59:16,14.536,0.752,84.712,0,0,0,57344,185658,1302912,3803246592,795021312,468828160,14634807296,1280,73618
14-04 09:59:17,14.861,0.504,84.635,0,0,0,0,222992,1570569,3803242496,795021312,468828160,14634811392,1280,73618
14-04 09:59:18,15.711,0.998,83.292,0,0,0,0,229428,1609035,3803238400,795021312,468828160,14634815488,1280,73618
14-04 09:59:19,14.536,0.752,84.712,0,0,0,49152,232091,1628731,3803238400,795021312,468828160,14634815488,1280,73618
14-04 09:59:20,14.322,0.754,84.673,0.251,0,0,16384,198865,1403858,3803234304,795021312,468832256,14634815488,1280,73618
14-04 09:59:21,14.610,0.252,85.139,0,0,0,12288,224370,1587924,3803234304,795021312,468832256,14634815488,1280,73618
14-04 09:59:22,13.433,0.746,85.821,0,0,0,0,171584,1218501,3803234304,795021312,468832256,14634815488,1280,73618
14-04 09:59:23,14.861,0.756,84.383,0,0,0,0,194186,1367133,3803484160,794767360,468832256,14634819584,1280,73618
14-04 09:59:24,13.602,0.504,85.894,0,0,0,0,167496,1182482,3803484160,794767360,468832256,14634819584,1280,73618
14-04 09:59:25,14.322,0.251,85.427,0,0,0,4096,187386,1339709,3803484160,794767360,468832256,14634819584,1280,73618
14-04 09:59:26,12.879,1.010,85.859,0.253,0,0,49152,176459,1243249,3803480064,794767360,468836352,14634819584,1280,73618
14-04 09:59:27,12.563,0.754,86.683,0,0,0,0,207294,1448851,3803480064,794767360,468836352,14634819584,1280,73618
14-04 09:59:28,12.343,1.008,86.650,0,0,0,0,184011,1318840,3803475968,794767360,468836352,14634823680,1280,73618
14-04 09:59:29,12.750,0.500,86.750,0,0,0,0,156657,1119333,3803475968,794767360,468836352,14634823680,1280,73618
14-04 09:59:30,12.343,0.252,87.406,0,0,0,0,168817,1185215,3803475968,794767360,468836352,14634823680,1280,73618
14-04 09:59:31,14.815,0.247,84.444,0.494,0,0,28672,209224,1484897,3803467776,794767360,468844544,14634823680,1280,73618
14-04 09:59:32,16.459,0.499,83.042,0,0,0,0,243471,1710034,3803463680,794767360,468844544,14634827776,1280,73618
14-04 09:59:33,11.335,0.504,88.161,0,0,0,0,175409,1241983,3803463680,794767360,468844544,14634827776,1280,73618
14-04 09:59:34,14.358,0,85.642,0,0,0,40960,192410,1360861,3803840512,794386432,468844544,14634831872,1280,73618
14-04 09:59:35,13.283,0.251,86.466,0,0,0,0,171302,1201390,3803840512,794386432,468844544,14634831872,1280,73618
14-04 09:59:36,15.174,0.498,84.080,0.249,0,0,241664,236462,1651855,3803836416,794386432,468844544,14634835968,1280,73618
14-04 09:59:37,12.968,0.748,86.284,0,0,0,12288,190364,1340920,3803836416,794386432,468844544,14634835968,1280,73618
14-04 09:59:38,12.846,0.504,86.650,0,0,0,0,163027,1160448,3803836416,794386432,468844544,14634835968,1280,73618
14-04 09:59:39,15.539,0.501,83.960,0,0,0,0,226745,1587924,3803836416,794386432,468844544,14634835968,1280,73618
14-04 09:59:40,15.461,0.748,83.791,0,0,0,69632,187593,1323781,3804860416,793362432,468844544,14634835968,1280,73618
14-04 09:59:41,13.819,1.256,84.673,0.251,0,0,45056,169096,1183889,3804848128,793370624,468848640,14634835968,1280,73618
14-04 09:59:42,14.536,1.003,84.211,0.251,0,0,73728,182022,1282700,3804844032,793370624,468848640,14634840064,1280,73618
14-04 09:59:43,14.141,0.505,85.354,0,0,0,0,130900,933611,3804839936,793370624,468848640,14634844160,1280,73618
14-04 09:59:44,16.750,0.750,82.500,0,0,0,36864,206499,1448275,3803357184,794886144,468848640,14634811392,1280,73618
14-04 09:59:45,13.283,0.501,86.216,0,0,0,0,191682,1343628,3803443200,794767360,468848640,14634844160,1280,73618
14-04 09:59:46,14.358,0.504,85.139,0,0,0,16384,134559,956469,3803439104,794767360,468852736,14634844160,1280,73618
14-04 09:59:47,14.787,0.501,84.712,0,0,0,0,132531,936971,3803439104,794767360,468852736,14634844160,1280,73618
14-04 09:59:48,13.568,0.251,85.930,0.251,0,0,49152,210495,1485866,3803439104,794767360,468852736,14634844160,1280,73618
14-04 09:59:49,14.286,1.003,84.712,0,0,0,0,234867,1667819,3803435008,794767360,468852736,14634848256,1280,73618
14-04 09:59:50,13.250,1,85.750,0,0,0,0,195162,1365791,3803430912,794767360,468852736,14634852352,1280,73618
14-04 09:59:51,14.106,0.252,85.390,0.252,0,0,16384,188734,1340771,3803430912,794767360,468852736,14634852352,1280,73618
14-04 09:59:52,14.536,0.752,84.712,0,0,0,0,231818,1648999,3803430912,794767360,468852736,14634852352,1280,73618
